date,pantone,hex,meta,description,color
DEC 31,PANTONE 18-5610,4C8087,POWERFUL,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 31,PANTONE 18-5610,4C8087,CHARISMATIC,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 31,PANTONE 18-5610,4C8087,REGAL,"YOUR talent and power is quite exceptional but is not always easy to handle.  A strong base is needed to support your energy and drive.  Discipline, intention and love are needed to achieve things with a feeling of peace and accomplishment.  Your personal color resonates with gratitude and humility.  Wearing, meditating or surrounding yourself with Brittany Blue helps dissolve the lines of separation and loneliness that people sometimes feel.  It reminds you to appreciate your gifts and helps you feel connected to the world.",BRITTANY BLUE
DEC 30,PANTONE 16-1429,B16E52,ARTIST,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 30,PANTONE 16-1429,B16E52,COMMUNICATOR,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 30,PANTONE 16-1429,B16E52,STORYTELLER,"YOUR ability to make people stand up and take notice is one of your many gifts.  You are able to convey ideas and opinions to the masses.  Communicating life's truths is one of your many pleasures.  Unique and colorful, people don't often forget you once they have met you.  Your verbal agility is quite rare.  Wearing, meditating or surrounding yourself with the color Sunburn helps you channel the creative and sensitive side of your personality in a healthy and balanced manner.",SUNBURN
DEC 29,PANTONE 18-3718,7D7098,TALENTED,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 29,PANTONE 18-3718,7D7098,VERSATILE,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 29,PANTONE 18-3718,7D7098,SPIRITUAL,"TALENTED and versatile, you are a great entertainer.  Your natural spunk makes you a favorite at any social function.  Although you can appear outgoing to others, you are also very sensitive with a need to retreat and re-energize.  The challenge of having two very different qualities to your personality can at times feel overwhelming.  The desire to be alone, coupled with the need for a mate, is another challenge you sometimes face.  Your personal color helps you step forward with confidence.  Wearing, meditating or surrounding yourself with Purple Haze allows you to join with another person without the fear of losing your individuality.",PURPLE HAZE
DEC 28,PANTONE 17-5126,009698,QUICK,"BORN TO lead and inspire, you do well at the head of the class.  You are charismatic and self-assured and can move through different parts of society with ease and confidence.  Most people born on this day are hardworking and driven. Try not to let your confidence and sense of purpose lead you to doing everything yourself.  Security and a sense of belonging are important to your well-being.  Your personal color helps you stay flexible and open to the unexpected.  Wearing, meditating or surrounding yourself with Viridian Green helps you guard against being stubborn or emotionally unavailable.",VIRIDIAN GREEN
DEC 28,PANTONE 17-5126,009698,SOPHISTICATED,"BORN TO lead and inspire, you do well at the head of the class.  You are charismatic and self-assured and can move through different parts of society with ease and confidence.  Most people born on this day are hardworking and driven. Try not to let your confidence and sense of purpose lead you to doing everything yourself.  Security and a sense of belonging are important to your well-being.  Your personal color helps you stay flexible and open to the unexpected.  Wearing, meditating or surrounding yourself with Viridian Green helps you guard against being stubborn or emotionally unavailable.",VIRIDIAN GREEN
DEC 28,PANTONE 17-5126,009698,CAPABLE,"BORN TO lead and inspire, you do well at the head of the class.  You are charismatic and self-assured and can move through different parts of society with ease and confidence.  Most people born on this day are hardworking and driven. Try not to let your confidence and sense of purpose lead you to doing everything yourself.  Security and a sense of belonging are important to your well-being.  Your personal color helps you stay flexible and open to the unexpected.  Wearing, meditating or surrounding yourself with Viridian Green helps you guard against being stubborn or emotionally unavailable.",VIRIDIAN GREEN
DEC 27,PANTONE 18-4432,006A8C,PROTECTIVE,"YOUR mind is sharp and discriminating and, although you are capable of making good judgments, there are times when you are idealistic in regard to relationships.  Be sure to connect with people that love and support you.  You have a unique way of expressing yourself and people find you interesting and distinct.  You have a dry sense of humor that shows off your quick intellect and perception.  Wearing, meditating or surrounding yourself with the color Turkish Tile helps you stay lighthearted and inspired while reminding you to believe in yourself and others.",TURKISH TILE
DEC 27,PANTONE 18-4432,006A8C,IDEALISTIC,"YOUR mind is sharp and discriminating and, although you are capable of making good judgments, there are times when you are idealistic in regard to relationships.  Be sure to connect with people that love and support you.  You have a unique way of expressing yourself and people find you interesting and distinct.  You have a dry sense of humor that shows off your quick intellect and perception.  Wearing, meditating or surrounding yourself with the color Turkish Tile helps you stay lighthearted and inspired while reminding you to believe in yourself and others.",TURKISH TILE
DEC 27,PANTONE 18-4432,006A8C,EXPRESSIVE,"YOUR mind is sharp and discriminating and, although you are capable of making good judgments, there are times when you are idealistic in regard to relationships.  Be sure to connect with people that love and support you.  You have a unique way of expressing yourself and people find you interesting and distinct.  You have a dry sense of humor that shows off your quick intellect and perception.  Wearing, meditating or surrounding yourself with the color Turkish Tile helps you stay lighthearted and inspired while reminding you to believe in yourself and others.",TURKISH TILE
DEC 26,PANTONE 17-4421,357B91,COMPLEX,"IT IS best for you to be in a position of authority.  It is not a great idea for you to be following someone else's rules.  Courageous and complex, you are not always easily understood.  You want to know what makes things tick.  You are concerned about the core of a situation not in the appearance of things.  Part of your challenge is to learn how to work with a partner.  Receptivity and diplomacy are needed in your exchanges with others.  Wearing, meditating or surrounding yourself with the color Larkspur helps you combine your depth with subtlety and grace.",LARKSPUR
DEC 26,PANTONE 17-4421,357B91,COURAGEOUS,"IT IS best for you to be in a position of authority.  It is not a great idea for you to be following someone else's rules.  Courageous and complex, you are not always easily understood.  You want to know what makes things tick.  You are concerned about the core of a situation not in the appearance of things.  Part of your challenge is to learn how to work with a partner.  Receptivity and diplomacy are needed in your exchanges with others.  Wearing, meditating or surrounding yourself with the color Larkspur helps you combine your depth with subtlety and grace.",LARKSPUR
DEC 26,PANTONE 17-4421,357B91,RESTLESS,"IT IS best for you to be in a position of authority.  It is not a great idea for you to be following someone else's rules.  Courageous and complex, you are not always easily understood.  You want to know what makes things tick.  You are concerned about the core of a situation not in the appearance of things.  Part of your challenge is to learn how to work with a partner.  Receptivity and diplomacy are needed in your exchanges with others.  Wearing, meditating or surrounding yourself with the color Larkspur helps you combine your depth with subtlety and grace.",LARKSPUR
DEC 25,PANTONE 19-5511,355749,DETERMINED,"YOU were born with a nice mix of intuition and practicality.  It is important for you to feel financially secure and grounded.  No amount of wealth, status or achievement will be enough if you have not cultivated the spiritual side of your nature.  Stability, home and love are all very important to you.  You are loyal, dependable and giving, once you have accepted a person into your intimate circle of life.  Your personal color reminds you to stay connected to the spiritual side of life.  Wearing, meditating or surrounding yourself with Hunter Green helps calm any financial or mundane worries that you may feel.",HUNTER GREEN
DEC 25,PANTONE 19-5511,355749,UNUSUAL,"YOU were born with a nice mix of intuition and practicality.  It is important for you to feel financially secure and grounded.  No amount of wealth, status or achievement will be enough if you have not cultivated the spiritual side of your nature.  Stability, home and love are all very important to you.  You are loyal, dependable and giving, once you have accepted a person into your intimate circle of life.  Your personal color reminds you to stay connected to the spiritual side of life.  Wearing, meditating or surrounding yourself with Hunter Green helps calm any financial or mundane worries that you may feel.",HUNTER GREEN
DEC 25,PANTONE 19-5511,355749,GOAL ORIENTED,"YOU were born with a nice mix of intuition and practicality.  It is important for you to feel financially secure and grounded.  No amount of wealth, status or achievement will be enough if you have not cultivated the spiritual side of your nature.  Stability, home and love are all very important to you.  You are loyal, dependable and giving, once you have accepted a person into your intimate circle of life.  Your personal color reminds you to stay connected to the spiritual side of life.  Wearing, meditating or surrounding yourself with Hunter Green helps calm any financial or mundane worries that you may feel.",HUNTER GREEN
DEC 24,PANTONE 16-5820,56A081,EMOTIONAL,"SENSUAL and alluring, people are drawn to you.  You need creative outlets to express yourself so life doesn't become too dramatic.  There are times when you may have to face a lot of responsibilities.  Some of these can be overwhelming if you do not have a secure foundation and a strong spiritual connection.  Your personal color helps you stay encouraged and optimistic.  Wearing, meditating or surrounding yourself with the color Green Spruce reminds you to share your talents so that you feel useful and productive.",GREEN SPRUCE
DEC 24,PANTONE 16-5820,56A081,PROPHETIC,"SENSUAL and alluring, people are drawn to you.  You need creative outlets to express yourself so life doesn't become too dramatic.  There are times when you may have to face a lot of responsibilities.  Some of these can be overwhelming if you do not have a secure foundation and a strong spiritual connection.  Your personal color helps you stay encouraged and optimistic.  Wearing, meditating or surrounding yourself with the color Green Spruce reminds you to share your talents so that you feel useful and productive.",GREEN SPRUCE
DEC 24,PANTONE 16-5820,56A081,MYSTICAL,"SENSUAL and alluring, people are drawn to you.  You need creative outlets to express yourself so life doesn't become too dramatic.  There are times when you may have to face a lot of responsibilities.  Some of these can be overwhelming if you do not have a secure foundation and a strong spiritual connection.  Your personal color helps you stay encouraged and optimistic.  Wearing, meditating or surrounding yourself with the color Green Spruce reminds you to share your talents so that you feel useful and productive.",GREEN SPRUCE
DEC 23,PANTONE 17-0215,7D9A74,VISIONARY,"YOU have an enterprising spirit and can capitalize on your talents.  Although you can be friendly and good-natured, much of your personality and feelings remain hidden from the outside world.  Money and power often come easily to you as you focus and make your mark in the world.  It is important for you to feel that you are doing something meaningful and that you are connected to something bigger than yourself.  Wearing, meditating or surrounding yourself with Aspen Green helps you stay linked to friends and family as you share your gifts with the world at large.",ASPEN GREEN
DEC 23,PANTONE 17-0215,7D9A74,POWERFUL,"YOU have an enterprising spirit and can capitalize on your talents.  Although you can be friendly and good-natured, much of your personality and feelings remain hidden from the outside world.  Money and power often come easily to you as you focus and make your mark in the world.  It is important for you to feel that you are doing something meaningful and that you are connected to something bigger than yourself.  Wearing, meditating or surrounding yourself with Aspen Green helps you stay linked to friends and family as you share your gifts with the world at large.",ASPEN GREEN
DEC 23,PANTONE 17-0215,7D9A74,MYSTERIOUS,"YOU have an enterprising spirit and can capitalize on your talents.  Although you can be friendly and good-natured, much of your personality and feelings remain hidden from the outside world.  Money and power often come easily to you as you focus and make your mark in the world.  It is important for you to feel that you are doing something meaningful and that you are connected to something bigger than yourself.  Wearing, meditating or surrounding yourself with Aspen Green helps you stay linked to friends and family as you share your gifts with the world at large.",ASPEN GREEN
DEC 22,PANTONE 19-5420,155D4F,SOLID,"YOU have an uncanny ability to build and persevere once you decide where you are going and what you want in life.  Security and material success is something that needs to be addressed and cultivated.  Manifesting your ideas is an important part of your evolution.  Trust and patience will be two of your strongest allies.  Your personal color reminds you that being in nature is vital to your well-being.  Wearing, meditating or surrounding yourself with the color Evergreen helps you align with healthy energy and prosperity.",EVERGREEN
DEC 22,PANTONE 19-5420,155D4F,CREATOR,"YOU have an uncanny ability to build and persevere once you decide where you are going and what you want in life.  Security and material success is something that needs to be addressed and cultivated.  Manifesting your ideas is an important part of your evolution.  Trust and patience will be two of your strongest allies.  Your personal color reminds you that being in nature is vital to your well-being.  Wearing, meditating or surrounding yourself with the color Evergreen helps you align with healthy energy and prosperity.",EVERGREEN
DEC 22,PANTONE 19-5420,155D4F,CONTEMPLATIVE,"YOU have an uncanny ability to build and persevere once you decide where you are going and what you want in life.  Security and material success is something that needs to be addressed and cultivated.  Manifesting your ideas is an important part of your evolution.  Trust and patience will be two of your strongest allies.  Your personal color reminds you that being in nature is vital to your well-being.  Wearing, meditating or surrounding yourself with the color Evergreen helps you align with healthy energy and prosperity.",EVERGREEN
DEC 21,PANTONE 18-4525,0084A2,PLAYFUL,"YOUR hearty personality is an inspiration to others.  You are warm and loving and everyone seems to want a piece of you.  Taking time for yourself is imperative to your well-being and will help you guard against being taken for granted or being pushed and pulled in too many directions.  There is far more to you than meets the eye and there may be times when you feel that few people know the real you.  Wearing, meditating or surrounding yourself with Caribbean Sea helps you release negative emotions so you feel continually replenished and refreshed.",CARIBBEAN SEA
DEC 21,PANTONE 18-4525,0084A2,SMART,"YOUR hearty personality is an inspiration to others.  You are warm and loving and everyone seems to want a piece of you.  Taking time for yourself is imperative to your well-being and will help you guard against being taken for granted or being pushed and pulled in too many directions.  There is far more to you than meets the eye and there may be times when you feel that few people know the real you.  Wearing, meditating or surrounding yourself with Caribbean Sea helps you release negative emotions so you feel continually replenished and refreshed.",CARIBBEAN SEA
DEC 21,PANTONE 18-4525,0084A2,ROMANTIC,"YOUR hearty personality is an inspiration to others.  You are warm and loving and everyone seems to want a piece of you.  Taking time for yourself is imperative to your well-being and will help you guard against being taken for granted or being pushed and pulled in too many directions.  There is far more to you than meets the eye and there may be times when you feel that few people know the real you.  Wearing, meditating or surrounding yourself with Caribbean Sea helps you release negative emotions so you feel continually replenished and refreshed.",CARIBBEAN SEA
DEC 20,PANTONE 18-4036,4E81AD,SENSITIVE,"YOU have great hunches and are a kind and loving person.  You are far stronger than most people know.  Loving and fair, you were born with a giving nature.  Resist the urge to doubt yourself when you interact with people who are more stingy and fearful than you are.  Move around their energy as you would an iceberg in the sea.  Wearing, meditating or surrounding yourself with Parisian Blue reminds you to remember your destination and your true nature.  It is remembering these two things that enable you to find your way into the heart of happiness.",PARISIAN BLUE
DEC 20,PANTONE 18-4036,4E81AD,STRONG,"YOU have great hunches and are a kind and loving person.  You are far stronger than most people know.  Loving and fair, you were born with a giving nature.  Resist the urge to doubt yourself when you interact with people who are more stingy and fearful than you are.  Move around their energy as you would an iceberg in the sea.  Wearing, meditating or surrounding yourself with Parisian Blue reminds you to remember your destination and your true nature.  It is remembering these two things that enable you to find your way into the heart of happiness.",PARISIAN BLUE
DEC 20,PANTONE 18-4036,4E81AD,SPIRITUAL,"YOU have great hunches and are a kind and loving person.  You are far stronger than most people know.  Loving and fair, you were born with a giving nature.  Resist the urge to doubt yourself when you interact with people who are more stingy and fearful than you are.  Move around their energy as you would an iceberg in the sea.  Wearing, meditating or surrounding yourself with Parisian Blue reminds you to remember your destination and your true nature.  It is remembering these two things that enable you to find your way into the heart of happiness.",PARISIAN BLUE
DEC 19,PANTONE 16-5418,4BA09B,REGAL,"YOU are capable of achieving many of your aspirations through pure determination and will.  Some of this strength comes from the challenges that you may have faced while growing up.  Once you make up your mind to do something, you have the necessary stamina to accomplish your aims.  You may end up being in the public eye.  Your personal color reminds you to infuse your life with optimism and enthusiasm.  Wearing, meditating or surrounding yourself with the color Lagoon helps you live life in a balanced and wondrous way.",LAGOON
DEC 19,PANTONE 16-5418,4BA09B,EXPRESSIVE,"YOU are capable of achieving many of your aspirations through pure determination and will.  Some of this strength comes from the challenges that you may have faced while growing up.  Once you make up your mind to do something, you have the necessary stamina to accomplish your aims.  You may end up being in the public eye.  Your personal color reminds you to infuse your life with optimism and enthusiasm.  Wearing, meditating or surrounding yourself with the color Lagoon helps you live life in a balanced and wondrous way.",LAGOON
DEC 19,PANTONE 16-5418,4BA09B,DETERMINED,"YOU are capable of achieving many of your aspirations through pure determination and will.  Some of this strength comes from the challenges that you may have faced while growing up.  Once you make up your mind to do something, you have the necessary stamina to accomplish your aims.  You may end up being in the public eye.  Your personal color reminds you to infuse your life with optimism and enthusiasm.  Wearing, meditating or surrounding yourself with the color Lagoon helps you live life in a balanced and wondrous way.",LAGOON
DEC 18,PANTONE 18-4231,126180,ADVENTUROUS,"YOU can do just about anything to which you put your mind. Your ability to laugh and keep your sense of humor is one of the reasons why people love to be around you. You have an ability to see things that others often can't see.  It is this ability that makes you unique but can also make you feel a bit out of step with the rest of society.  Wearing, meditating or surrounding yourself with Blue Sapphire encourages you to be true to yourself without feeling separate and alone.",BLUE SAPPHIRE
DEC 18,PANTONE 18-4231,126180,APPEALING,"YOU can do just about anything to which you put your mind. Your ability to laugh and keep your sense of humor is one of the reasons why people love to be around you. You have an ability to see things that others often can't see.  It is this ability that makes you unique but can also make you feel a bit out of step with the rest of society.  Wearing, meditating or surrounding yourself with Blue Sapphire encourages you to be true to yourself without feeling separate and alone.",BLUE SAPPHIRE
DEC 18,PANTONE 18-4231,126180,CREATIVE,"YOU can do just about anything to which you put your mind. Your ability to laugh and keep your sense of humor is one of the reasons why people love to be around you. You have an ability to see things that others often can't see.  It is this ability that makes you unique but can also make you feel a bit out of step with the rest of society.  Wearing, meditating or surrounding yourself with Blue Sapphire encourages you to be true to yourself without feeling separate and alone.",BLUE SAPPHIRE
DEC 17,PANTONE 18-3712,72697D,PERCEPTIVE,"YOU have an innate desire to learn and understand things.  You are partner oriented and it is likely that you will feel best when you are connected closely to another person.  It is important for you to know the reason behind things.  Your mind is deep and penetrating and you are not satisfied with superficial answers or people.  Your personal color helps calm your restlessness.  Wearing, meditating or surrounding yourself with Purple Sage supports your quest for truth and reminds you to have trust in relation to love and commitment.",PURPLE SAGE
DEC 17,PANTONE 18-3712,72697D,DEEP,"YOU have an innate desire to learn and understand things.  You are partner oriented and it is likely that you will feel best when you are connected closely to another person.  It is important for you to know the reason behind things.  Your mind is deep and penetrating and you are not satisfied with superficial answers or people.  Your personal color helps calm your restlessness.  Wearing, meditating or surrounding yourself with Purple Sage supports your quest for truth and reminds you to have trust in relation to love and commitment.",PURPLE SAGE
DEC 17,PANTONE 18-3712,72697D,STRONG,"YOU have an innate desire to learn and understand things.  You are partner oriented and it is likely that you will feel best when you are connected closely to another person.  It is important for you to know the reason behind things.  Your mind is deep and penetrating and you are not satisfied with superficial answers or people.  Your personal color helps calm your restlessness.  Wearing, meditating or surrounding yourself with Purple Sage supports your quest for truth and reminds you to have trust in relation to love and commitment.",PURPLE SAGE
DEC 16,PANTONE 17-3920,6E80A4,REFLECTIVE,"YOU have an unusual and often profound take on life.  It is your ability to see and hear things differently that sets you apart from others.  You can excel in the arts where your creativity and personal perception can lead others into a unique way of experiencing the world.  You often succeed in music and philosophy.  Your personal color reminds you to share your thoughts and perceptions with others.  Wearing, meditating or surrounding yourself with the color English Manor helps you to maintain your integrity and individuality.",ENGLISH MANOR
DEC 16,PANTONE 17-3920,6E80A4,IMAGINATIVE,"YOU have an unusual and often profound take on life.  It is your ability to see and hear things differently that sets you apart from others.  You can excel in the arts where your creativity and personal perception can lead others into a unique way of experiencing the world.  You often succeed in music and philosophy.  Your personal color reminds you to share your thoughts and perceptions with others.  Wearing, meditating or surrounding yourself with the color English Manor helps you to maintain your integrity and individuality.",ENGLISH MANOR
DEC 16,PANTONE 17-3920,6E80A4,INNOVATIVE,"YOU have an unusual and often profound take on life.  It is your ability to see and hear things differently that sets you apart from others.  You can excel in the arts where your creativity and personal perception can lead others into a unique way of experiencing the world.  You often succeed in music and philosophy.  Your personal color reminds you to share your thoughts and perceptions with others.  Wearing, meditating or surrounding yourself with the color English Manor helps you to maintain your integrity and individuality.",ENGLISH MANOR
DEC 15,PANTONE 17-4023,577C97,MUSICAL,"SEXY and congenial, people gravitate to you.  You have a natural zest for life and the room is livelier when you are in it.  You have many creative talents that you can channel into music, business or theater.  Try not to let the sensual side of life pull you too far off purpose.  Your desire for expansion and expression needs to be channeled and supported or else you can lose your sense of balance.  Wearing, meditating or surrounding yourself with Blue Heaven reminds you to live life fully without losing your way back home.",BLUE HEAVEN
DEC 15,PANTONE 17-4023,577C97,PROMOTER,"SEXY and congenial, people gravitate to you.  You have a natural zest for life and the room is livelier when you are in it.  You have many creative talents that you can channel into music, business or theater.  Try not to let the sensual side of life pull you too far off purpose.  Your desire for expansion and expression needs to be channeled and supported or else you can lose your sense of balance.  Wearing, meditating or surrounding yourself with Blue Heaven reminds you to live life fully without losing your way back home.",BLUE HEAVEN
DEC 15,PANTONE 17-4023,577C97,SEXY,"SEXY and congenial, people gravitate to you.  You have a natural zest for life and the room is livelier when you are in it.  You have many creative talents that you can channel into music, business or theater.  Try not to let the sensual side of life pull you too far off purpose.  Your desire for expansion and expression needs to be channeled and supported or else you can lose your sense of balance.  Wearing, meditating or surrounding yourself with Blue Heaven reminds you to live life fully without losing your way back home.",BLUE HEAVEN
DEC 14,PANTONE 17-5117,318284,COMPLEX,"PERCEPTIVE and intellectually gifted, you can read people quite easily.  You often know just what to say or do in order to give people what they want.  You are expressive and funny and people like it when you entertain them.  It is important for you to discover your own wants and needs.  Being outdoors is one of the ways that you can relax and remember who you really are.  Your personal color gives you the strength to move through the complexities of life.  Wearing, meditating or surrounding yourself with the color Green-Blue Slate reminds you to take care of yourself as you interact with others.",GREEN-BLUE SLATE
DEC 14,PANTONE 17-5117,318284,QUICK-WITTED,"PERCEPTIVE and intellectually gifted, you can read people quite easily.  You often know just what to say or do in order to give people what they want.  You are expressive and funny and people like it when you entertain them.  It is important for you to discover your own wants and needs.  Being outdoors is one of the ways that you can relax and remember who you really are.  Your personal color gives you the strength to move through the complexities of life.  Wearing, meditating or surrounding yourself with the color Green-Blue Slate reminds you to take care of yourself as you interact with others.",GREEN-BLUE SLATE
DEC 14,PANTONE 17-5117,318284,EXPRESSIVE,"PERCEPTIVE and intellectually gifted, you can read people quite easily.  You often know just what to say or do in order to give people what they want.  You are expressive and funny and people like it when you entertain them.  It is important for you to discover your own wants and needs.  Being outdoors is one of the ways that you can relax and remember who you really are.  Your personal color gives you the strength to move through the complexities of life.  Wearing, meditating or surrounding yourself with the color Green-Blue Slate reminds you to take care of yourself as you interact with others.",GREEN-BLUE SLATE
DEC 13,PANTONE 18-5725,176054,DRAMATIC,"YOU tend to work very hard at what you believe.  Although you have a great sense of humor, you have a serious and emotional streak that lies just under the surface.  Part of this complexity is what makes you so attractive to others, but can also be difficult for you to handle. The integration of your inner longings into your daily life holds the key to your well-being and happiness.  Wearing, meditating or surrounding yourself with the color Galapagos Green enhances your ability to persevere with joy and enthusiasm.",GALAPAGOS GREEN
DEC 13,PANTONE 18-5725,176054,PRECISE,"YOU tend to work very hard at what you believe.  Although you have a great sense of humor, you have a serious and emotional streak that lies just under the surface.  Part of this complexity is what makes you so attractive to others, but can also be difficult for you to handle. The integration of your inner longings into your daily life holds the key to your well-being and happiness.  Wearing, meditating or surrounding yourself with the color Galapagos Green enhances your ability to persevere with joy and enthusiasm.",GALAPAGOS GREEN
DEC 13,PANTONE 18-5725,176054,EMOTIONAL,"YOU tend to work very hard at what you believe.  Although you have a great sense of humor, you have a serious and emotional streak that lies just under the surface.  Part of this complexity is what makes you so attractive to others, but can also be difficult for you to handle. The integration of your inner longings into your daily life holds the key to your well-being and happiness.  Wearing, meditating or surrounding yourself with the color Galapagos Green enhances your ability to persevere with joy and enthusiasm.",GALAPAGOS GREEN
DEC 12,PANTONE 19-4340,005E78,IMAGINATIVE,"KNOWN FOR YOUR charisma and ease, people just can't get enough of you.  You have a style and flair that people love to be near.  Many people born on this day make great performers.  There can be a tendency to want to do things to the max, as you have an innate love of life.  Your personal color embodies the qualities of spontaneity and perfection.  Wearing, meditating or surrounding yourself with Lyons Blue can help you explore life to the fullest without going to excess.",LYONS BLUE
DEC 12,PANTONE 19-4340,005E78,CHARISMATIC,"KNOWN FOR YOUR charisma and ease, people just can't get enough of you.  You have a style and flair that people love to be near.  Many people born on this day make great performers.  There can be a tendency to want to do things to the max, as you have an innate love of life.  Your personal color embodies the qualities of spontaneity and perfection.  Wearing, meditating or surrounding yourself with Lyons Blue can help you explore life to the fullest without going to excess.",LYONS BLUE
DEC 12,PANTONE 19-4340,005E78,SOCIAL,"KNOWN FOR YOUR charisma and ease, people just can't get enough of you.  You have a style and flair that people love to be near.  Many people born on this day make great performers.  There can be a tendency to want to do things to the max, as you have an innate love of life.  Your personal color embodies the qualities of spontaneity and perfection.  Wearing, meditating or surrounding yourself with Lyons Blue can help you explore life to the fullest without going to excess.",LYONS BLUE
DEC 11,PANTONE 19-4039,3A5B8D,SPIRITUAL,"SPIRITUALLY AWARE, you were born to make a difference.  You may hear your calling early in life.  You may not know exactly what you are going to do but you know that it is special.  It is important not to dissipate your energy through fear or indecision.  Usually indecision comes from self-doubt.  Your personal color helps you heed your calling.  Wearing, meditating or surrounding yourself with the color Delft reminds you to replenish your natural resources with faith and trust.",DELFT
DEC 11,PANTONE 19-4039,3A5B8D,CREATIVE,"SPIRITUALLY AWARE, you were born to make a difference.  You may hear your calling early in life.  You may not know exactly what you are going to do but you know that it is special.  It is important not to dissipate your energy through fear or indecision.  Usually indecision comes from self-doubt.  Your personal color helps you heed your calling.  Wearing, meditating or surrounding yourself with the color Delft reminds you to replenish your natural resources with faith and trust.",DELFT
DEC 11,PANTONE 19-4039,3A5B8D,INSPIRING,"SPIRITUALLY AWARE, you were born to make a difference.  You may hear your calling early in life.  You may not know exactly what you are going to do but you know that it is special.  It is important not to dissipate your energy through fear or indecision.  Usually indecision comes from self-doubt.  Your personal color helps you heed your calling.  Wearing, meditating or surrounding yourself with the color Delft reminds you to replenish your natural resources with faith and trust.",DELFT
DEC 10,PANTONE 17-5421,158B83,INNOVATIVE,"YOU can achieve many things due to your inner conviction.  There is a propensity for financial gain and worldly success if you are able to stay centered.  Balancing the mental and emotional areas of your life is one of your challenges.  Many of you have a quiet intelligence that is always listening and learning.  Your personal color helps you channel your ideas into words of inspiration and creations of beauty.  Wearing, meditating or surrounding yourself with the color Porcelain Green helps you to stay balanced.",PORCELAIN GREEN
DEC 10,PANTONE 17-5421,158B83,WISE,"YOU can achieve many things due to your inner conviction.  There is a propensity for financial gain and worldly success if you are able to stay centered.  Balancing the mental and emotional areas of your life is one of your challenges.  Many of you have a quiet intelligence that is always listening and learning.  Your personal color helps you channel your ideas into words of inspiration and creations of beauty.  Wearing, meditating or surrounding yourself with the color Porcelain Green helps you to stay balanced.",PORCELAIN GREEN
DEC 10,PANTONE 17-5421,158B83,GRACIOUS,"YOU can achieve many things due to your inner conviction.  There is a propensity for financial gain and worldly success if you are able to stay centered.  Balancing the mental and emotional areas of your life is one of your challenges.  Many of you have a quiet intelligence that is always listening and learning.  Your personal color helps you channel your ideas into words of inspiration and creations of beauty.  Wearing, meditating or surrounding yourself with the color Porcelain Green helps you to stay balanced.",PORCELAIN GREEN
DEC 09,PANTONE 18-3927,5F698F,COMMUNICATOR,"THERE IS no cookie cutter mold that holds your shape. You are different and you like it that way.  Born to intrigue others and give them a little shock now and then, you are quite a character.  You are a great friend and a fierce ally.  You can be sensitive and articulate or blunt and cutting, depending on the situation or purpose.  Try to focus your energy out into the world where you can make a difference.  Your personal color helps you channel your intensity.  Wearing, meditating or surrounding yourself with Velvet Morning gives you the necessary strength to take action and make a difference in the world.",VELVET MORNING
