date,pantone,hex,meta,description,color
JAN 20,PANTONE 18-1436,B17069,KIND,"YOU care about people and yearn to make a difference.  You are sensitive and bold when you need to be and can be a fighter for the rights of others. Your mind is quick and you are able to speak in front of an audience with an easy manner to which people respond.  You are able to communicate information and insights in a provocative and non-threatening way.  Your personal color resonates with strength and compassion and helps blend your heart with your head.  Wearing, meditating or surrounding yourself with Light Mahogany helps you balance your home and family life with your career and professional aspirations.",LIGHT MAHOGANY
JAN 20,PANTONE 18-1436,B17069,SOCIALLY CONSCIOUS,"YOU care about people and yearn to make a difference.  You are sensitive and bold when you need to be and can be a fighter for the rights of others. Your mind is quick and you are able to speak in front of an audience with an easy manner to which people respond.  You are able to communicate information and insights in a provocative and non-threatening way.  Your personal color resonates with strength and compassion and helps blend your heart with your head.  Wearing, meditating or surrounding yourself with Light Mahogany helps you balance your home and family life with your career and professional aspirations.",LIGHT MAHOGANY
JAN 19,PANTONE 17-1330,A17452,UNUSUAL,"YOU have an enormous amount of energy at your disposal.  Leading others and sharing insights are just some of your abilities.  The creative arts are a natural for you.  You were born on the cusp of the old and the new way of doing things so you are often part of a revolution and a new way of seeing things.  Learn how to balance spontaneity with stability.  Your personal color resonates with integration.  Wearing, meditating or surrounding yourself with Lion helps balance your energy so you feel alive without feeling scattered or overwhelmed.",LION
JAN 19,PANTONE 17-1330,A17452,COMPLEX,"YOU have an enormous amount of energy at your disposal.  Leading others and sharing insights are just some of your abilities.  The creative arts are a natural for you.  You were born on the cusp of the old and the new way of doing things so you are often part of a revolution and a new way of seeing things.  Learn how to balance spontaneity with stability.  Your personal color resonates with integration.  Wearing, meditating or surrounding yourself with Lion helps balance your energy so you feel alive without feeling scattered or overwhelmed.",LION
JAN 19,PANTONE 17-1330,A17452,INNOVATIVE,"YOU have an enormous amount of energy at your disposal.  Leading others and sharing insights are just some of your abilities.  The creative arts are a natural for you.  You were born on the cusp of the old and the new way of doing things so you are often part of a revolution and a new way of seeing things.  Learn how to balance spontaneity with stability.  Your personal color resonates with integration.  Wearing, meditating or surrounding yourself with Lion helps balance your energy so you feel alive without feeling scattered or overwhelmed.",LION
JAN 18,PANTONE 17-1614,965A67,FRIENDLY,"YOUR imagination and dreams help guide you toward your goals.  Once you have found them, you must pursue them with persistence, flexibility and ease.  There may be a tendency that once you have had some success to take yourself too seriously.  This won't work as it is your love of life and childlike quality that everyone admires and relates to.  Your personal color helps you maintain your humility and honor.  Wearing, meditating or surrounding yourself with Deco Rose helps you feel strong, safe and truly secure yourself.",DECO ROSE
JAN 18,PANTONE 17-1614,965A67,COMPASSIONATE,"YOUR imagination and dreams help guide you toward your goals.  Once you have found them, you must pursue them with persistence, flexibility and ease.  There may be a tendency that once you have had some success to take yourself too seriously.  This won't work as it is your love of life and childlike quality that everyone admires and relates to.  Your personal color helps you maintain your humility and honor.  Wearing, meditating or surrounding yourself with Deco Rose helps you feel strong, safe and truly secure yourself.",DECO ROSE
JAN 18,PANTONE 17-1614,965A67,DETERMINED,"YOUR imagination and dreams help guide you toward your goals.  Once you have found them, you must pursue them with persistence, flexibility and ease.  There may be a tendency that once you have had some success to take yourself too seriously.  This won't work as it is your love of life and childlike quality that everyone admires and relates to.  Your personal color helps you maintain your humility and honor.  Wearing, meditating or surrounding yourself with Deco Rose helps you feel strong, safe and truly secure yourself.",DECO ROSE
JAN 17,PANTONE 18-1444,9D4844,DYNAMIC,"YOU have passion and presence and are a force with which to be reckoned.  Your perception and intellect are highly developed and you are usually one step ahead of everyone else.  You want to make a difference and have an impact on society, so it is important that you follow your dreams without losing your center.  Your personal color helps accentuate your true calling.  Wearing, meditating or surrounding yourself with the color Tandori Spice encourages you to rest and to be receptive whenever it is appropriate.",TANDORI SPICE
JAN 17,PANTONE 18-1444,9D4844,INTRICATE,"YOU have passion and presence and are a force with which to be reckoned.  Your perception and intellect are highly developed and you are usually one step ahead of everyone else.  You want to make a difference and have an impact on society, so it is important that you follow your dreams without losing your center.  Your personal color helps accentuate your true calling.  Wearing, meditating or surrounding yourself with the color Tandori Spice encourages you to rest and to be receptive whenever it is appropriate.",TANDORI SPICE
JAN 17,PANTONE 18-1444,9D4844,COLORFUL,"YOU have passion and presence and are a force with which to be reckoned.  Your perception and intellect are highly developed and you are usually one step ahead of everyone else.  You want to make a difference and have an impact on society, so it is important that you follow your dreams without losing your center.  Your personal color helps accentuate your true calling.  Wearing, meditating or surrounding yourself with the color Tandori Spice encourages you to rest and to be receptive whenever it is appropriate.",TANDORI SPICE
JAN 16,PANTONE 17-1516,9A716E,INFLUENTIAL,"YOU are quick-witted and people seem to be drawn to you.  You want to express your talents in significant ways.  It is important that you have some private time for yourself even though the career you choose may mean that you are surrounded by the public.  Being by the water or the ocean is soothing to your spirit.  Wearing, meditating or surrounding yourself with Burlwood reminds you that you do not always have to be on call for others and encourages you to reserve some quiet time for yourself.",BURLWOOD
JAN 16,PANTONE 17-1516,9A716E,COMMANDING,"YOU are quick-witted and people seem to be drawn to you.  You want to express your talents in significant ways.  It is important that you have some private time for yourself even though the career you choose may mean that you are surrounded by the public.  Being by the water or the ocean is soothing to your spirit.  Wearing, meditating or surrounding yourself with Burlwood reminds you that you do not always have to be on call for others and encourages you to reserve some quiet time for yourself.",BURLWOOD
JAN 16,PANTONE 17-1516,9A716E,ORIGINAL,"YOU are quick-witted and people seem to be drawn to you.  You want to express your talents in significant ways.  It is important that you have some private time for yourself even though the career you choose may mean that you are surrounded by the public.  Being by the water or the ocean is soothing to your spirit.  Wearing, meditating or surrounding yourself with Burlwood reminds you that you do not always have to be on call for others and encourages you to reserve some quiet time for yourself.",BURLWOOD
JAN 15,PANTONE 17-1525,A3695F,LEADER,"YOU have a very strong will and are determined to get what you go after.  The challenge here is to know what really gives you pleasure.  Although monetary worth is very important to you, it is not the end all in regard to contentment.  Try to develop a strong belief system and practice faith whenever possible.  You are capable of many things.  Your personal color helps you stay true to your inner self.  Wearing, meditating or surrounding yourself with Cedar Wood can help you stay uplifted.",CEDAR WOOD
JAN 15,PANTONE 17-1525,A3695F,PERSUASIVE,"YOU have a very strong will and are determined to get what you go after.  The challenge here is to know what really gives you pleasure.  Although monetary worth is very important to you, it is not the end all in regard to contentment.  Try to develop a strong belief system and practice faith whenever possible.  You are capable of many things.  Your personal color helps you stay true to your inner self.  Wearing, meditating or surrounding yourself with Cedar Wood can help you stay uplifted.",CEDAR WOOD
JAN 15,PANTONE 17-1525,A3695F,SENSUAL,"YOU have a very strong will and are determined to get what you go after.  The challenge here is to know what really gives you pleasure.  Although monetary worth is very important to you, it is not the end all in regard to contentment.  Try to develop a strong belief system and practice faith whenever possible.  You are capable of many things.  Your personal color helps you stay true to your inner self.  Wearing, meditating or surrounding yourself with Cedar Wood can help you stay uplifted.",CEDAR WOOD
JAN 14,PANTONE 17-4911,63888E,SMART,"YOU are adept and there isn't a social circle in which you can't hold your own.  Your life is never dull as you move easily in and out of conversations and situations.  Relationships with loved ones can be challenging at times, as you are not always as self-assured on the inside as you are on the outside.  Trust needs to be cultivated and developed.  Your personal color helps restore your faith in others.  Wearing, meditating or surrounding yourself with Arctic allows you to lead when appropriate and to follow when necessary.",ARCTIC
JAN 14,PANTONE 17-4911,63888E,SOCIAL,"YOU are adept and there isn't a social circle in which you can't hold your own.  Your life is never dull as you move easily in and out of conversations and situations.  Relationships with loved ones can be challenging at times, as you are not always as self-assured on the inside as you are on the outside.  Trust needs to be cultivated and developed.  Your personal color helps restore your faith in others.  Wearing, meditating or surrounding yourself with Arctic allows you to lead when appropriate and to follow when necessary.",ARCTIC
